,Call_Number,Title
3889,BF511-593:Affection. Feeling. Emotion,autonomy an essay in philosophical psychology and ethics autonomy psychology
3890,BF511-593:Affection. Feeling. Emotion,el miedo reflexiones sobre su dimensión social y cultural fear social aspects fear political aspects
3892,BF636-637:Applied psychology,the psychology of winning success selfactualization psychology
3894,BF712-724:Developmental psychology,experimental child psychologist essays and experiments in honor of charles c spiker child psychology spiker charles c
3895,BF712-724:Developmental psychology,movement and dance in early childhood motor ability in children education preschool movement education
3896,BF65-172:Psychology,theoretical approaches in psychology psychology
3897,BF199-202:Psychology,understanding driving applying cognitive psychology to a complex everyday task cognitive psychology automobile driving psychological aspects
3899,BF65-172:Psychology,coming to our senses body and spirit in the hidden history of the west mind and body history consciousness history dualism history civilization western somatotypes psychological aspects history
3900,BF173-175:Psychoanalysis,core concepts in classical psychoanalysis clinical research evidence and conceptual critiques psychoanalysis psychoanalysis history psychoanalysts history psychotherapy psychology psychiatry
3901,BF65-172:Psychology,psychology today an introduction psychology
3902,BF309-499:Consciousness. Congition,a psychologist looks at space motion and time an essay by herman a pieters space and time movement psychology of
3903,BF636-637:Applied psychology,rhythm in psychological linguistic and musical processes biological rhythms psychology applied language and languages rhythm musical meter and rhythm
3904,BF1501-1561:Demonology. Satanism. Possession,raising the devil satanism new religions and the media satanism
3905,BF309-499:Consciousness. Congition,analogymaking as perception a computer model analogy computer simulation perception computer simulation artificial intelligence
3906,BF173-175:Psychoanalysis,the foundations of psychoanalysis a philosophical critique psychoanalysis freud sigmund 18561939
3907,BF309-499:Consciousness. Congition,ideas and realities of emotion emotions interpersonal communication
3908,BF1783-1815:Seers. Prophets. Prophecies,wahrsagetexte des spätmittelalters aus handschriften un inkunabeln prophecies fortunetelling
3909,BF309-499:Consciousness. Congition,attitude strength antecedents and consequences attitude psychology attitude change
3910,BF65-172:Psychology,freud and moses the long journey home freud sigmund 18561939 religion freud sigmund 18561939 childhood and youth judaism and psychoanalysis psychoanalysts austria biography
3911,BF309-499:Consciousness. Congition,psychologie der kreativität creative ability
3912,BF1172-1227:Parapsychology,that must have been esp an examination of psychic experiences coincidence psychic aspects telepathy coincidence psychic aspects case studies telepathy case studies parapsychology finland case studies
3913,BF636-637:Applied psychology,yu cheng gong you yue quan mian zhao jiu zi ji success psychological aspects character
3914,BF636-637:Applied psychology,communication and interpersonal relations text and cases communication psychological aspects
3915,BF309-499:Consciousness. Congition,dreams visions drugs a search for other realities consciousness dreams visions drugs
3916,BF65-172:Psychology,psychology for psychiatrists psychology clinical
3917,BF712-724:Developmental psychology,moral development through social interaction moral development social aspects social interaction in children
3918,BF660-685:Comparative psychology. Animal and human psychology,achievement orientation of adolescent women of hawaiian japanese and pilipinosicamerican descent achievement motivation level of aspiration women
3919,BF173-175:Psychoanalysis,freud and his early circle freud sigmund 18561939 friends and associates psychoanalysis history
3920,BF309-499:Consciousness. Congition,how to think thought and thinking reasoning
3921,BF698:Personality,psychological processes in cognition and personality personality and cognition
3923,BF697:Differential psychology. Individuality. Self,interaction identity identity psychology social interaction
3925,BF511-593:Affection. Feeling. Emotion,when a spouse dies what i didnt know about helping myself and others through grief bereavement psychological aspects spouses death psychological aspects
3926,BF1585-1623:Magic. Hermetics. Necromancy,medieval number symbolism its sources meaning and influence on thought and expression symbolism of numbers history
3927,BF608-635:Will. Volition. Choice. Control,essai sur les donnees immediates de la conscience consciousness free will and determinism space and time knowledge theory of
3928,BF309-499:Consciousness. Congition,assessment of intelligence and development of infants and young children with specialized measures children intelligence testing infants intelligence testing
